Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa Sub-Saharan,Guinea-Bissau,161,248,182,114,113,159,108,70,117,122,141,91,95
America Central and South,Guyana,"2,938","2,731","2,273","1,392","1,082",996,866,872,919,799,908,926,"1,088"
America Central and South,Haiti,304,288,252,220,201,228,194,206,201,193,258,238,263
Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Honduras,48,36,49,33,46,47,48,47,45,48,57,63,62
Asia East,Hong Kong,"6,714","6,822","6,887","6,748","7,077","8,339","8,672","10,056","11,134","12,022","12,063","12,024","12,539"
EU 8,Hungary,14,10,4,3,1,1,0,0,0,0,1,2,0
Europe Other,Iceland,6,0,2,10,6,3,4,0,1,3,2,1,0
Asia South,India,"379,338","437,976","420,711","399,248","406,937","420,013","407,762","380,479","400,740","410,293","455,732","480,004","526,004"
Asia South East,Indonesia,"17,859","18,707","20,705","19,265","20,627","26,571","33,119","34,380","38,609","38,452","38,007","47,999","57,431"
Middle East,Iran,"34,378","41,321","36,416","32,414","22,094","23,630","27,149","11,377","10,639","10,174","10,613","10,998","13,866"
Middle East,Iraq,"8,563","9,967","5,997","7,656","9,264","6,895","9,673","9,996","12,867","11,463","4,971","4,573","5,718"
EU 14,Ireland,6,9,5,2,1,0,4,2,5,2,1,0,1
Middle East,Israel,"3,206","2,048","1,659","1,341","1,119","1,071",847,950,"1,019",961,951,"1,040",962
EU 14,Italy,2,0,4,2,4,3,1,2,1,1,0,1,2
Africa Sub-Saharan,Ivory Coast,"2,467","2,568","2,291","2,051","1,837","1,865","1,657","1,626","1,726","1,582","1,664","1,523","1,609"
America Central and South,Jamaica,"10,851","10,301","10,306","9,975","8,592","8,435","7,368","7,497","6,390","6,298","6,599","6,837","7,766"
Asia East,Japan,"14,711","14,400","12,840","11,413","10,074","9,522","10,138","9,942","9,725","9,715","9,468","9,082","9,247"
Middle East,Jordan,"11,624","12,816","11,597","11,590","11,739","11,391","12,451","12,363","14,220","14,347","14,164","14,925","15,653"
Asia Central,Kazakhstan,"9,335","13,202","14,658","13,076","12,694","13,937","15,528","16,532","17,556","17,541","15,572","12,378","14,379"
Africa Sub-Saharan,Kenya,"14,993","15,779","14,968","15,337","14,384","13,990","14,199","13,706","13,991","15,188","15,185","14,498","16,413"
Oceania,Kiribati,2,1,0,2,1,0,2,0,6,3,0,3,0
Asia East,Korea (North),32,25,20,23,21,19,8,16,14,14,15,29,56
Asia East,Korea (South),"10,856","9,985","9,448","8,958","7,968","9,056","8,475","8,304","9,123","8,713","8,564","8,354","8,540"
Europe Other,Kosovo,z,z,44,182,"2,183","3,263","3,471","3,297","3,564","3,126","3,458","3,278","3,343"
Middle East,Kuwait,"40,685","41,018","35,954","40,835","44,468","48,194","59,888","63,780","89,649","91,167","91,408","27,752","12,481"
Asia Central,Kyrgyzstan,816,"1,073","1,051",909,942,743,815,845,802,931,883,956,"1,149"
Asia South East,Laos,146,122,130,150,144,153,151,226,327,563,523,587,709
EU 8,Latvia,26,23,26,19,16,12,11,7,4,5,8,4,4
Middle East,Lebanon,"12,407","12,543","12,472","10,855","11,288","12,062","12,674","12,582","15,623","16,977","16,419","17,319","18,553"
Africa Sub-Saharan,Lesotho,105,120,56,51,213,297,301,224,257,302,261,267,191
